,acronym,actual,prediction,text
307,RoLa,rolling highway,rolling road,RoLa rolling highway rolling highway road trains on railway wagons rolling road technique rolling roadBonus permits for transport by road are issued whenever Serbian road transporters use the RoLa (RO-LA) train through Hungary (in accordance with a bilateral agreement between Serbia and Hungary).
308,RoLa,rolling highway,rolling road technique,RoLa rolling highway rolling highway road trains on railway wagons rolling road technique rolling roadAlps and SwF 36 million to RoLas.
309,RoLa,rolling highway,rolling road technique,"RoLa rolling highway rolling highway road trains on railway wagons rolling road technique rolling roadSwF 162 million were assigned to transalpine non-accompanied combined transport, SwF 16 million to non-accompanied combined transport not crossing the Alps and SwF 36 million to RoLas."
310,RoLa,rolling road,rolling road technique,"RoLa rolling highway rolling highway road trains on railway wagons rolling road technique rolling roadJerusalem Post, 20 May 1994) On 24 May 1994, the residents of Gush Katif began patRoLas in the area in order to monitor the implementation of the agreements with the PLO, following concerns that the Palestinian police were already violating them."
311,PI,positive ignition,positive ignition,"PI positive ignition positive ignitionPI engine-powered vehicles and hybrid electric vehicles equipped with a positive-ignition engine shall be subject to the following tests: Paragraph 5.2.2.,"
312,RECs,regional environmental centres,regional economic communities,"RECs regional environmental centres regional economic communitiesThe assistance will be provided in such a way as to fully use existing mechanisms and international institutional arrangements, e.g. the RECs for the Caucasus, for Central Asia and for Eastern Europe."
313,RECs,regional economic communities,regional economic communities,"RECs regional environmental centres regional economic communitiesInvitations were also extended to associations of universities, including the Association of African Universities (AAU), the Commonwealth Association of Universities (CAU) and the International Association of Universities (IAU), as well as to academics, individuals from the private sector, policy makers from selected countries and to representatives of the RECs, the ECA subregional development centres, other United Nations organizations and development partners."
314,SLM,sustainable land management,sustainable land management,"SLM sustainable land management sustainable land managementThese lie in the causal nexus between population increase, limited land resources, land shortage, poverty, non-SLM practices and land degradation."
315,SLM,sustainable land management,sustainable land management,"SLM sustainable land management sustainable land managementVarious studies, meetings and workshops considered other aspects of desertification assessment and land management, such as the interaction between climate and desertification, soil resilience, the assessment of degradation in cultivated soils, indicators of sustainability, land quality and community evaluation of project activities, appropriate technologies for SLM and economic valuation of environment and natural resources."
316,SLM,sustainable land management,sustainable land management,"SLM sustainable land management sustainable land managementWith regard to the implementation of the new GEF Operational Programme on SLM, UNEP has indicated its willingness to make use of its comparative advantage in addressing transboundary issues, and support countries in awareness raising and the requisite capacity strengthening."
317,RCM-Africa,regional coordination mechanism of united nations agencies and organizations working in africa,regional coordination mechanism for africa,"RCM-Africa regional coordination mechanism for africa regional coordination mechanism of united nations agencies and organizations working in africainstreaming, empowerment of women and civil society participation I. African Peer Review Mechanism Response of the international community: building on the momentum of international support for Africa's development A. Official development assistance B. Debt relief C. Foreign direct investment D. Trade E. South-South cooperation Support provided by the United Nations system A. Strengthening of the RCM-Africa in Support of the African Union and its NEPAD Programme and the cluster system B. Millennium Villages Conclusions and recommendations The present report responds to that request."
318,ECOSOC,economic and social counci,economic and social council resolution,"ECOSOC economic and social council resolution economic and social counci economic and social counciA/47/1011 ADOPTION OF THE AGENDA AND ORGANIZATION OF WORK REPORT OF THE ECONOMIC AND SOCIAL COUNCIL SOCIAL DEVELOPMENT: QUESTIONS RELATING TO THE WORLD SOCIAL SITUATION AND TO YOUTH, AGEING, DISABLED PERSONS AND THE FAMILY Letter dated 2 September 1993 from the President of the ECOSOCl to the President of the General Assembly The ECOSOCl, in its resolution 1993/23 of 27 July 1993, which was adopted on the recommendation of the Commission for Social Development, approved the attached draft resolution entitled ""International Year of the Family"", for transmission to the General Assembly for its adoption."
319,ECOSOC,economic and social counci,economic and social council resolution,"ECOSOC economic and social council resolution economic and social counci economic and social counciAt its most recent session, the Sub-Commission on Prevention of Discrimination and Protection of Minorities adopted, without a vote, the resolution contained in document E/CN.4/Sub.2/1992/L.28, in which it recommends that the Commission and the ECOSOCl authorize two experts to carry out a study on impunity."
320,ECOSOC,economic and social counci,economic and social council resolution,"ECOSOC economic and social council resolution economic and social counci economic and social counciA/47/1011 ADOPTION OF THE AGENDA AND ORGANIZATION OF WORK REPORT OF THE ECONOMIC AND SOCIAL COUNCIL SOCIAL DEVELOPMENT: QUESTIONS RELATING TO THE WORLD SOCIAL SITUATION AND TO YOUTH, AGEING, DISABLED PERSONS AND THE FAMILY Letter dated 2 September 1993 from the President of the ECOSOC to the President of the General Assembly The ECOSOC, in its resolution 1993/23 of 27 July 1993, which was adopted on the recommendation of the Commission for Social Development, approved the attached draft resolution entitled ""International Year of the Family"", for transmission to the General Assembly for its adoption."
321,ECOSOC,economic and social counci,economic and social council resolution,"ECOSOC economic and social council resolution economic and social counci economic and social counciInternational Organization for the Elimination of All Forms of Racial Discrimination Equality of treatment and opportunity The International Organization for the Elimination of All Forms of Racial Discrimination, an institution founded 17 years ago and recognized by the United Nations in consultative status with the ECOSOC, has been struggling since then for equality of treatment and of social, economic and political opportunity all over the world."
322,EE,energy efficiency,energy efficiency,"EE estonia energy efficiency eastern european group expanded expenditureon to agriculture/fisheries resources management; resource assessment, development and management**; geology for land use planning and environmental management; technological advances in treating wastes as resources**; marine environment and non-living marine resources development; mineral concentrations and hydrocarbon accumulations (4 in 1994, 5 in 1995); (iv) Energy development and management: EE guidebook for the Asia-Pacific region**; new and renewable sources of energy supply and environmental management**; environmental management for power systems** (1 in 1994, 2 in 1995); (v) Natural disaster reduction: seismic and volcanic monitoring systems (1994); (vi) Manuals, guidelines and rosters relating to environment and sustainable development: environmental impact assess"
323,EE,eastern european group,estonia,EE estonia energy efficiency eastern european group expanded expenditureHe gave assurances that the countries of the EE would endeavour to give effect to the Convention as soon as possible and to implement it to the extent possible in those countries.
324,EE,eastern european group,estonia,"EE estonia energy efficiency eastern european group expanded expenditureMr. Gorita (Romania): Allow me, on behalf of the EE of States Parties to the Treaty on the Non-Proliferation of Nuclear Weapons (NPT), to express our satisfaction that this historic Conference is coming to an end with positive results."
325,CCD,convention to combat desertification,convention to combat desertification,"CCD convention to combat desertification special resources fortative Group on International Agricultural Research/International Decision 2/4 Elaboration of an international convention to combat desertification in countries experiencing serious drought and/or desertification, particularly in Africa Recalling General Assembly resolution 47/188 of 22 December 1992, establishing the Intergovernmental Negotiating Committee for the elaboration of an International CCD in those Countries Experiencing Serious Drought and/or Desertification, particularly in Africa, with a view to finalizing such a convention by June 1994, Recalling also decision 2/1 adopted by the Committee on 13 September 1993, in particular para 1.c thereof, Recognizing that, in view of the global dimension and the complexity of the problems relating to deser"
326,CCD,convention to combat desertification,convention to combat desertification,"CCD convention to combat desertification special resources forSigned) Gad YAACOBI Ambassador 93-37500 (E) 280693 A/48/226/Add.1 15 October 1993 ENGLISH ORIGINAL: ENGLISH/FRENCH Note by the Secretary-General Addendum The second session of the Intergovernmental Negotiating Committee for the Elaboration of an International CCD in those Countries Experiencing Serious Drought and/or Desertification, particularly in Africa, was held at Geneva from 13 to 24 September 1993."
327,CCD,special resources for,special resources for,CCD convention to combat desertification special resources forTo implement this programme the donors' contribution is received in the form of cash or promissory notes into a special mechanism called CCD Sub-Saharan Africa (SRS).
328,PRTRs,pollutant release and transfer registers,pollutant release and transfer registers,PRTRs pollutant release and transfer registers pollutant release and transfer registersmme for the Economies of Central Asia (2); (b) Other substantive activities (regular budget): (i) Recurrent publications: Air Pollution Studies Series (2); Water Series (2); Strategies and Policies: summary of the 2004 major review under the Convention on Long-range Transboundary Air Pollution (1); (ii) Non-recurrent publications: environmental performance reviews (6); implementation guide to the PRTRs (1); publication of the Protocol on civil liability for damage caused by industrial accidents on transboundary waters (1); second edition of implementation guide for the public participation convention (1); the Convention on Long-range Transboundary Air Pollution and its protocols (1); Thirty Years of Environmental Cooperation in the ECE Region
329,PRTRs,pollutant release and transfer registers,pollutant release and transfer registers,"PRTRs pollutant release and transfer registers pollutant release and transfer registersAt the international level, UNITAR has initiated a Network of PRTRs Resource Persons through which interested countries will learn about and have better access to related expertise in countries and organizations."
330,PP10,partnership for principle 10,partnership for principle 10,"PP10 partnership for principle 10 principle 10Partnership Initiatives A partnership to develop guidelines for the countries of the Asia-Pacific region on access to information, public participation in decision-making and access to justice in environmental matters, to be led by the Economic and Social Commission for Asia and the Pacific (ESCAP) with the support of ECE; `PP10', an international multi-stakeholder project which aims to promote the implementation of principle 10 of the Rio Declaration at the national level, to be led by World Resources Institute; and An initiative on `Capacity Building on the applications of information and communcation technologies (ICT) for the establishment of environmental information systems for sustainab"
331,PP10,principle 10,partnership for principle 10,"PP10 partnership for principle 10 principle 10vidual be assured access to information held about that individual; (vii) Principle 7 aims at facilitating correction of information held about individuals; (viii) Principle 8 urges that procedures be adequate to ensure the accuracy of information held about individuals; (ix) Principle 9 proposes that information about individuals not be kept for longer than is required by legitimate purpose; (x) PP10 aims at confining the use of information about individuals to the legitimate purposes for which it was obtained; (xi) Principle 11 aims at preventing disclosure of information about individuals by the holding agency to third parties; (xii) Principle 12 seeks to limit the assignment and use of ""unique identifiers""."
332,PP10,principle 10,principle 10,"PP10 partnership for principle 10 principle 10It shall include an adequate autopsy, collection and analysis of all physical and documentary evidence and statements from witnesses..."" PP10 states, inter alia, that ""[t]hose persons conducting the investigation shall have at their disposal all the necessary budgetary and technical resources for effective investigation""."
333,UNSO,united nations sudanosahelian office,united nations sudanosahelian office,"UNSO united nations sudanosahelian office office to combat desertification and drought previously the united nations sudanosahelian office to combat desertification and droughtAuthorizes the Executive Director to continue supporting the UNSO as a joint venture with the United Nations Development Programme, at least un"
334,UNSO,united nations sudanosahelian office,united nations sudanosahelian office,"UNSO united nations sudanosahelian office office to combat desertification and drought previously the united nations sudanosahelian office to combat desertification and droughtTakes note of the contributions of the United Nations Development Programme, the UNSO, the United Nations Environment Programme, the Food and Agriculture Organization of the United Nations, the United Nations Conference on Trade and Development, the United Nations Educational, Scientific and Cultural Organization, the World Meteorological Organization, the International Fund for Agricultural Development and other relevant international organiza"
335,UNSO,office to combat desertification and drought,united nations sudanosahelian office,"UNSO united nations sudanosahelian office office to combat desertification and drought previously the united nations sudanosahelian office to combat desertification and droughtThe United Nations Development Programme (UNDP) and its UNSO, the United Nations Environment Programme (UNEP), the Food and Agriculture Organization of the United Nations (FAO), the World Meteorological Organization (WMO) and the International Fund for Agricultural Development (IFAD), in particular, continued to support the process actively by making financial or human resources available to the Secretariat and/o"
336,EIT,parties with economies in transition,parties with economies in transition,"EIT parties with economies in transition economies in transitiontal; that no one contribution exceeds 25 per cent of the total; and that no contribution from a least developed country Party exceeds 0.01 per cent of the total; (b) Voluntary contributions made by Parties in addition to those under (a) above; (c) Other voluntary contributions, including contributions to support the participation of the representatives of developing countries Parties and of other EIT in the Conference of the Parties and its subsidiary bodies; (d) The uncommitted balance of appropriations from previous financial periods; (e) Miscellaneous income."
337,EIT,parties with economies in transition,parties with economies in transition,"EIT parties with economies in transition economies in transitionIt should be noted that, on the adoption of recommendation 3 by the INC/FCCC, the representatives of three Annex I EIT reserved their positions on certain aspects of that recommendation, pending its consideration at COP 1 (A/AC.237/91, para."
338,UNCRO,united nations confidence restoration operation,united nations confidence restoration operation,"UNCRO united nations confidence restoration operation united nations confidence restoration operationThey condemned the action taken by Croatia in violation of the cease-fire agreement of 29 March 1994, which endangers the efforts being pursued under the aegis of the international community to promote a peaceful solution for the Krajinas, and which took place at the time when the new UNCRO in Croatia is being deployed."
339,UNCRO,united nations confidence restoration operation,united nations confidence restoration operation,"UNCRO united nations confidence restoration operation united nations confidence restoration operationFinancing of the United Nations Protection Force, the UNCRO, the United Nations Preventive Deployment Force and the United Nations Peace Forces headquarters (D.128)."
340,ICT,information and communication technology,information and communication technology,"ICT information and communication technology information and communication technology information and communication technology information and communication technologyWhile the low level of development in science and technology including industrial, ICT in the region affect the socio-economic well-being of the populations, the lives of women who are overburdened with the responsibilities of sustaining the livelihoods of their families are even more burdensome."
341,ICT,information and communication technology,information and communication technology,"ICT information and communication technology information and communication technology information and communication technology information and communication technologyFurthermore, the internationalization of financial, product and service markets, coupled with rapid advances in ICT, represents a growing challenge to the competitiveness of countries and firms."
342,ICT,information and communication technology,information and communication technology,"ICT information and communication technology information and communication technology information and communication technology information and communication technologyICT (ITC) is at the forefront of technological advances in environmental protection (environmental monitoring, risk control, management systems, simulation and so forth)."
343,ICT,information and communication technology,information and communication technology,"ICT information and communication technology information and communication technology information and communication technology information and communication technologyICT makes it possible for NGOs world wide to exchange points of view and develop consensus in a participatory manner, as well as to have exchanges with Governments and intergovernmental organizations."
344,ICT,information and communication technology,information and communication technology,"ICT information and communication technology information and communication technology information and communication technology information and communication technologyesolution (E/CN.16/1995/L.2) entitled ""ICT: a key for scientific cooperation and technology transfer"", submitted on behalf of Austria, Belarus, Bulgaria, Chile, Costa Rica, Ireland, Jamaica, Malaysia, China, the Russian Federation, Togo, the United Republic of Tanzania and Viet Nam, on the basis of informal consultations."
345,UNODC,united nations office on drugs and crime,united nations office on drugs and crime,"UNODC united nations office on drugs and crime united nations office on drugs and crimeBriefing and discussion on the work of the Tajikistan Drug Control Agency The UNODC and the Permanent Mission of Tajikistan will hold a briefing and discussion on the work of the Tajikistan Drug Control Agency on Friday, 13 December 2002, from 3 to 5 p.m. in Conference Room 1."
346,UNODC,united nations office on drugs and crime,united nations office on drugs and crime,"UNODC united nations office on drugs and crime united nations office on drugs and crimeThe State has steadily been making contributions to the projects of international agencies, such as to UNICEF in the field of social and psychological rehabilitation of children and the United Nations GIFT campaign and with the UNODC in combating human trafficking."
347,UNODC,united nations office on drugs and crime,united nations office on drugs and crime,"UNODC united nations office on drugs and crime united nations office on drugs and crimeIn partnership with the Government of Spain, the CICTE secretariat and the UNODC held two joint se"
348,O3,ozone,ozone,O3 ozone ozoneReport of the Implementation Committee to the Fourth Meeting of the Parties to the Montreal Protocol on Substances that Deplete the O3 Layer 28.
349,O3,ozone,ozone,"O3 ozone ozoneHe said that the task of the Meeting was to phase out as quickly as possible O3-depleting chemicals, while ensuring environmentally sound development for the developing countries."
350,START I,strategic arms reduction,strategic arms reduction,"START I strategic arms reduction strategic arms reductionIn connection with our determined pursuit of systematic and progressive efforts to reduce nuclear weapons globally, we welcome: (a) The agreements reached in New York in September 1997 between the Russian Federation and the United States of America with a view to facilitating the entry into force of the second START I and the subsequent negotiation of a third START I; (b) Related steps to place under IAEA verification as soon as practicable fissile material withdrawn from weapons programmes by the nuclear-weapon States concerned in the process of nuclear weapons reductions and designated by those States as no longer required for their defence purposes and"
351,START I,strategic arms reduction,strategic arms reduction,"START I strategic arms reduction strategic arms reductionRatification of the START I (START) and simultaneous accession to the Treaty on the Non-Proliferation of Nuclear Weapons (NPT), as a non-nuclear State, constituted further steps in this direction."
352,UNMIN,united nations mission in nepal,united nations mission in nepal,"UNMIN united nations mission in nepal united nations mission in nepalAs of February 2010, out of 27 peacekeeping operations, special political missions and peacebuilding support offices, women headed two special political missions (the United Nations Peacebuilding Support Office in the Central African Republic and the UNMIN and two peacekeeping missions (the United Nations Mission in Liberia and the United Nations Integrated Mission in Timor-Leste); furthermore, women were deputy heads of five missions (the United Nations Mission in the Central African Republic and Chad, the United Nations Organization Mission in the Democratic Republic of the Congo, the United Nations Stabilization M"
353,UNMIN,united nations mission in nepal,united nations mission in nepal,"UNMIN united nations mission in nepal united nations mission in nepaland United Nations representative to the International Advisory and Monitoring Board (A/61/525/Add.6); (b) Report of the Advisory Committee on Administrative and Budgetary Questions (A/61/640/Add.1); (c) Report of the Secretary-General on estimates in respect of special political missions, good offices and other political initiatives authorized by the General Assembly and/or the Security Council: UNMIN (A/61/525/Add.7); (d) Report of the Advisory Committee on Administrative and Budgetary Questions (A/61/640/Add.2)."
354,UNITAR,institute for training and research,institute for training and research,UNITAR institute for training and research united nations institute for training and researchTraining and research: United Nations UNITAR Document: Report of the Secretary-General (resolution 47/227).
355,UNITAR,united nations institute for training and research,institute for training and research,"UNITAR institute for training and research united nations institute for training and researchFinancial reports and audited financial statements, and reports of the Board of Auditors: (a) UNITAR (b) Voluntary funds administered by the United Nations High Commissioner for Refugees (a) Financial reports: (i) UNITAR, Supplement No."
356,CRASTE-LF,african centre for space science and technology  in french language,african centre for space science and technology  in french language,CRASTE-LF african centre for space science and technology  in french language centre for space science and technology education  in french african centre for space science and technology  in french language african centre for space science and technology  in french languageThe Committee noted that the CRASTE-LF had been organizing nine-month postgraduate courses since its inauguration in 1998.
357,CRASTE-LF,african centre for space science and technology  in french language,african centre for space science and technology  in french language,"CRASTE-LF african centre for space science and technology  in french language centre for space science and technology education  in french african centre for space science and technology  in french language african centre for space science and technology  in french languageThe following participants represented the regional centres: Abderrahmane Touzani, Director of the CRASTE-LF; Oluwagbemiga Olawale Jegede, Director of the African Regional Centre for Space Science and Technology Education -- in English Language; Tania Maria Sausen, Director of the Brazil Campus of the Regional Centre for Space Science and Technology Education for Latin America and the Caribbean, affiliated to the Uni"
358,CRASTE-LF,centre for space science and technology education  in french,african centre for space science and technology  in french language,"CRASTE-LF african centre for space science and technology  in french language centre for space science and technology education  in french african centre for space science and technology  in french language african centre for space science and technology  in french languageThe workshop was also attended by representatives of the Office for Outer Space Affairs, ESCAP, the Asian Disaster Reduction Centre, the Asian Disaster Preparedness Center and the African Regional CRASTE-LF Language."
359,SPE-PRMS,spe petroleum resource management system,spe petroleum resource management system,SPE-PRMS spe petroleum resource management system spe petroleum resource management system spe petroleum resource management systemAlignment of UNFC for petroleum with the SPE-PRMS (PRMS) 13.
360,ICM,intercommittee meetings,intercommittee meetings,"ICM intermediate consumption intercommittee meetings intermediate consumption independent citizens movementSummary of meetings held away from Headquarters Committee on Economic, Social and Cultural Rights Thirty-third session United Nations Office at Geneva 34th meeting Substantive issues arising in the implementation of the Covenant on Economic, Social and Cultural Rights [3] The Committee discussed the report of the Chairpersons and ICM and the draft guidelines on an expanded core document."
361,ICM,intercommittee meetings,intercommittee meetings,"ICM intermediate consumption intercommittee meetings intermediate consumption independent citizens movementThe report on the implementation of the recommendations of the previous year's Meeting of Chairpersons and ICM, already distributed to the Committee, should be read in particular by members designated to attend the relevant meetings in June."
362,ICM,intermediate consumption,intermediate consumption,"ICM intermediate consumption intercommittee meetings intermediate consumption independent citizens movementThe following set of indexes was developed: Informality Index, Informality Gross Value Added, Informality Gross Value of Production, Informality ICM and Informality Production Account, disaggregated by 2007 NAICS for the Mexican case."
363,DILG,department,of interior and local governmen,"DILG of interior and local governmen departmento MOREJON PAZMINO, Embassy of Ecuador, Santiago, Chile Mr. Calixto NUNKUAN IKANAN, Coordinadora de las Organizaciones Indígenas de la Cuenca Amazónica (COICA), Perú Mr. Alfonso PALMA CAPERA, Organización Nacional Indígena de Colombia (ONIC), Colombia Mr. Moringe PARKIPUNY, Korongoro Integrated Peoples Oriented to Conservation (KIPOC), Tanzania Mr. Teimuraz RAMISHVILI, Ministry of Foreign Affairs, DILG for International Humanitarian Cooperation and Human Rights, Russian Federation Ms. Luz Marina RIVERA, Office of Human Rights, Ministerio de Relaciones Exteriores, Colombia Ms. Elena SAHLIM, Embassy of Sweden, Santiago, Chile Mr. Maui SOLOMON, National Maori Congress, New Zealand C. Working Group on Indigenous Populations Mr. Miguel ALFONSO MARTINEZ D. Member States represented by obser"
364,DILG,department,of interior and local governmen,"DILG of interior and local governmen departmentIn May, the request was for the establishment of 9 core posts for the Unit for Peace-keeping Matters and Special Assignments, Office of Programme Planning, Budget and Finance, and 24 temporary assistance posts (each for a period of one year) to be distributed within the various areas of the DILG of Administration and Management."
365,GAID,global alliance for information and communication technologies and development,global alliance for ict and development,"GAID global alliance for ict and development global alliance for information and communication technologies and developmentRoom S-226 Guest at 12 noon Mr. Craig Barrett, Chairman of the GAID (on the work of the Alliance) Forthcoming official meetings The open-ended informal consultations on the draft resolution on agenda item 71 (a) (Oceans and the law of the sea) will continue on Thursday, 28, and Friday, 29 September 2006, from 10 a.m. to 1 p.m. and from 3 to 6 p.m. in Conference Room 8."
366,GAID,global alliance for information and communication technologies and development,global alliance for ict and development,"GAID global alliance for ict and development global alliance for information and communication technologies and developmentIn that light, in March 2006 the Secretary-General launched the GAID, an initiative for promoting multi-stakeholder dialogue and partnership and providing an innovative and interactive channel for multi-stakeholder inputs to the intergovernmental policy debate."
367,NGOs,nongovernmental organizations,nongovernmental organizations,"NGOs nongovernmental organizations nongovernmental organizationseracy and Adult Education, All India Women's Conference, Associated Country Women of the World, Baha'í International Community, Brahma Kumaris World Spiritual University, Caritas Internationalis (International Confederation of Catholic Charities), Catholic International Education Office, Christian Children's Fund Inc., Confederation of Family Organisations in the European Community, Conference of NGOs in Consultative Status with the Economic and Social Council, Crossways International, Defense for Children International Movement, Disabled Peoples' International, Eurolink Age, European Federation for the Welfare of the Elderly, European Union of Women, Executive Committee of NGOs associated with the Department of Public Information of the"
368,NGOs,nongovernmental organizations,nongovernmental organizations,"NGOs nongovernmental organizations nongovernmental organizationsc and Social Council, Crossways International, Defense for Children International Movement, Disabled Peoples' International, Eurolink Age, European Federation for the Welfare of the Elderly, European Union of Women, Executive Committee of NGOs associated with the Department of Public Information of the United Nations Secretariat, Family Life Education Subcommittee of the NGOs Development Committee in Geneva, Friends World Committee for Consultation (Quakers), Foundation for the Rights of the Family - International Secretariat (PRODEFA), General Arab Women Federation, General Conference of the Seventh-Day Adventists, Group on the Family of the NGOs Standing Committee (UNESCO), Helpage International, IPS - Inter Pr"
369,NGOs,nongovernmental organizations,nongovernmental organizations,"NGOs nongovernmental organizations nongovernmental organizationsFund Inc., Confederation of Family Organisations in the European Community, Conference of NGOs in Consultative Status with the Economic and Social Council, Crossways International, Defense for Children International Movement, Disabled Peoples' International, Eurolink Age, European Federation for the Welfare of the Elderly, European Union of Women, Executive Committee of NGOs associated with the Department of Public Information of the United Nations Secretariat, Family Life Education Subcommittee of the NGOs Development Committee in Geneva, Friends World Committee for Consultation (Quakers), Foundation for the Rights of the Family - International Secretariat (PRODEFA), General Arab Women Federation, General Confe"
370,AIS,automatic identification system,automatic identification system,AIS automatic identification system aids information switzerland abbreviated injury scaleIMO is currently considering the development of a Universal Shipborne AIS.
371,AIS,aids information switzerland,aids information switzerland,"AIS automatic identification system aids information switzerland abbreviated injury scaleContributions were received from the following NGOs: AIS, the Canadian HIV/AIDS Legal Network, the International Council of Nurses and the International Federation of Pharmaceutical Manufacturers Associations."
372,FRA2000,forest resources assessment 2000,forest resources assessment 2000,FRA2000 forest resources assessment 2000 forest resources assessment 200021 - 34 10 A. Workshop on remote-sensing support for the global FRA2000 .
373,FRA2000,forest resources assessment 2000,forest resources assessment 2000,FRA2000 forest resources assessment 2000 forest resources assessment 2000FRA2000 22.
374,FRA2000,forest resources assessment 2000,forest resources assessment 2000,"FRA2000 forest resources assessment 2000 forest resources assessment 2000Global framework for the forest resources assessment 2000: The FAO expert consultation on the global FRA2000 (FRA 2000), held in Kotka, Finland, proposed that the data content of FRA 2000 be considerably widened, compared with that of FRA 90."
375,FI,functional immunity,functional immunity,"FI functional immunity finlandFI exists in Zambia's domestic legal system (i.e. for judicial officers: s. 15, PC; Commissioner: s. 10, AC Act)."
376,GenCap,gender standby capacity,gender standby capacity,"GenCap gender standby capacity gender standby capacityThe GenCap Project is an excellent example of such measures, and we encourage continued efforts to ensure that well-trained professionals with gender and gender-based violence expertise are deployed to humanitarian operations."
377,GenCap,gender standby capacity,gender standby capacity,"GenCap gender standby capacity gender standby capacityIn accordance with Security Council resolution 1325 (2000) on women, peace and security, the Inter-Agency Gender Task Force of the United Nations country team, led by UNIFEM and the GenCap Adviser, issued the report entitled, ""Voicing the needs of women and men in Gaza: beyond the 23-day Israeli military operation"" in April 2009."
378,GenCap,gender standby capacity,gender standby capacity,"GenCap gender standby capacity gender standby capacityReplies were received from 15 Member States, 11 United Nations entities, 3 non-governmental organizations (NGOs), 1 academic institution and the Inter-Agency Standing Committee GenCap."
379,MEFMI,macroeconomic and financial management institute of eastern and southern africa,macroeconomic and financial management institute,"MEFMI macroeconomic and financial management institute of eastern and southern africa macroeconomic and financial management instituteWith regard to recent developments in debt management, UNCTAD had accelerated its cooperation with the MEFMI and Pôle Dette in the context of subregional cooperation between the Debt Management Financial Analysis System (DMFAS) programme and subregional groupings in Africa."
380,MEFMI,macroeconomic and financial management institute,macroeconomic and financial management institute,"MEFMI macroeconomic and financial management institute of eastern and southern africa macroeconomic and financial management instituteWith regard to recent developments in debt management, UNCTAD had accelerated its cooperation with the MEFMI of Eastern and Southern Africa and Pôle Dette in the context of subregional cooperation between the Debt Management Financial Analysis System (DMFAS) programme and subregional groupings in Africa."
381,SLD,speed limitation device,speed limitation device,SLD speed limitation device speed limitation deviceSpeed-SLDs.
382,SLD,speed limitation device,speed limitation device,"SLD speed limitation device speed limitation deviceTRANSPORTATION A. Improving automobile fuel efficiency ▸ reducing speed limits or strengthening their enforcement ¶¶ ▸ regulated fuel efficiency standards for new automobiles ¶ ▸ compulsory fuel efficiency standards for corporate and institutional automobile fleets ¶ ▸ compulsory installation of SLDs for trucks and buses ¶ ▸ increased taxation of gasoline and/or diesel fuels ¶¶¶ ▸ financial incentives to purchase less powerful, fuel-efficient vehicles that are applied at registration, purchase or when obtaining insurance for an automobile ¶¶ ▸ financial incentives to help commercialize technologies that will reduce fuel consumption in automobiles ¶ ▸ voluntary agreemen"
383,SRO-CA,subregional office for central africa,subregional office for central africa,"SRO-CA subregional office for central africa subregional office for central africa17A.63 The outputs listed below will be implemented by the ECA SRO-CA, which covers the following seven countries: Cameroon, Central African Republic, Chad, Congo, Equatorial Guinea, Gabon and Sao Tome and Principe."
384,SRO-CA,subregional office for central africa,subregional office for central africa,"SRO-CA subregional office for central africa subregional office for central africaTarget 2010-2011: 6 projects (c) Strengthened information and knowledge networking with key stakeholders involved in subregional development activities, including Governments, the private sector, civil society, the Central African regional economic communities and United Nations agencies (c) Increased number of communities of practice participating in the knowledge-sharing platform hosted by the SRO-CA 17A.88 The subprogramme is expected to achieve its objectives and expected accomplishments on the assumption that: (a) member States will effectively implement the agreed common policy measures and institutional mechanisms; (b) member States will fully endorse the guiding principles of NEPAD and the Millennium Development Goals and translate them into national"
385,PM,prime minister,prime minister,"PM prime minister primary measure particulate matter transfer linein from tabling in Parliament any motion of no-confidence against the new Government of national concord, to secure the immediate release of all persons detained for offences relating to their views (délits d'opinion) and to have the status of prisoners reviewed, to promote the establishment of a Compensation Commission for the victims of the coup d'état, and to ensure the confirmation of the new PM without delay."
386,PM,prime minister,prime minister,"PM prime minister primary measure particulate matter transfer lineWith the normalization of Parliament, the way has been cleared for the ratification of the PM."
387,PM,particulate matter,particulate matter,"PM prime minister primary measure particulate matter transfer lineannexed to this Protocol, and comprise] an overall network of [50] [75] [100] [stations] [20 stations and 3 airborne laboratories] capable of monitoring for the presence of relevant PM in the atmosphere[, of which [50] [75] [all] [stations] [10 stations and the three airborne laboratories] shall also be capable of monitoring for the presence of relevant noble gases]."
388,PM,particulate matter,particulate matter,"PM prime minister primary measure particulate matter transfer lineIn the 1992 Supplement, the IPCC took into account significant advances in understanding of the impact of ozone depletion and sulphate aerosols (PM in the atmosphere) and of the concept of GWPs."
389,LDCs,least developed countries,least developed countries,LDCs least developed countries least developed countriesDevelopment and international economic cooperation (item 91): (a) Trade and development; (b) Implementation of the Programme of Action for the LDCs for the 1990s; (c) Effective mobilization and integration of women in development; (d) Economic and technical cooperation among developing countries; (e) Environment; (f) Desertification and drought; (g) Human settlements; (h) Science and technology for development; (i) Entrepreneurship; (j) Integration of the economies in transition into the world economy.
390,LDCs,least developed countries,least developed countries,"LDCs least developed countries least developed countriesSecondly, it must decide whether such assistance should be limited to the LDCs or be extended to other developing countries, in which case there would have to be agreement on the criteria to be applied."
391,LDCs,least developed countries,least developed countries,"LDCs least developed countries least developed countriesThe Committee notes from paragraph 40 (a) of the report of the Secretary-General that the Department for Development Support and Management Services will ""give particular attention to the requirements of the LDCs and those of economies in transition""."
